code	lut_i32	sample14
1297	618	155
1298	618	155
1299	619	155
1300	619	155
1301	620	155
1302	620	155
1303	620	155
1304	621	155
1305	621	155
1306	622	156
1307	622	156
1308	623	156
1309	623	156
1310	624	156
1311	624	156
1312	624	156
1313	625	156
1314	625	156
1315	626	157
1316	626	157
1317	627	157
1318	627	157
1319	628	157
1320	628	157
1321	629	157
1322	629	157
1323	629	157
1324	630	158
1325	630	158
1326	631	158
1327	631	158
1328	632	158
1329	632	158
1330	633	158
1331	633	158
1332	633	158
1333	634	159
1334	634	159
1335	635	159
1336	635	159
1337	636	159
1338	636	159
1339	637	159
1340	637	159
1341	638	160
1342	638	160
1343	638	160
1344	639	160
1345	639	160
1346	640	160
1347	640	160
1348	641	160
1349	641	160
1350	642	161
1351	642	161
1352	642	161
1353	643	161
1354	643	161
1355	644	161
1356	644	161
1357	645	161
1358	645	161
1359	646	162
1360	646	162
1361	647	162
1362	647	162
1363	647	162
1364	648	162
1365	648	162
1366	649	162
1367	649	162
1368	650	163
1369	650	163
1370	651	163
1371	651	163
1372	651	163
1373	652	163
1374	652	163
1375	653	163
1376	653	163
1377	654	164
1378	654	164
1379	655	164
1380	655	164
1381	656	164
1382	656	164
1383	656	164
1384	657	164
1385	657	164
1386	658	165
1387	658	165
1388	659	165
1389	659	165
1390	660	165
1391	660	165
1392	660	165
1393	661	165
1394	661	165
1395	662	166
1396	662	166
1397	663	166
1398	663	166
1399	664	166
1400	664	166
1401	665	166
1402	665	166
1403	665	166
1404	666	167
1405	666	167
1406	667	167
1407	667	167
1408	668	167
1409	668	167
1410	669	167
1411	669	167
1412	669	167
1413	670	168
1414	670	168
1415	671	168
1416	671	168
1417	672	168
1418	672	168
1419	673	168
1420	673	168
1421	674	169
1422	674	169
1423	674	169
1424	675	169
1425	675	169
1426	676	169
1427	676	169
1428	677	169
1429	677	169
1430	678	170
1431	678	170
1432	678	170
1433	679	170
1434	679	170
1435	680	170
1436	680	170
1437	681	170
1438	681	170
1439	682	171
1440	682	171
1441	683	171
1442	683	171
1443	683	171
1444	684	171
1445	684	171
1446	685	171
1447	685	171
1448	686	172
1449	686	172
1450	687	172
1451	687	172
1452	687	172
1453	688	172
1454	688	172
1455	689	172
1456	689	172
1457	690	173
1458	690	173
